City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hwange,ZW,-18.3693,26.5019,86.58,26,6,4.14,clear sky
80,Butaritari,KI,3.0707,172.7902,83.7,67,63,15.86,broken clouds
81,Adrar,MR,20.5022,-10.0711,101.3,6,100,11.23,overcast clouds
82,Cam Ranh,VN,11.9214,109.1591,80.56,89,40,0.0,scattered clouds
83,Husavik,IS,66.0449,-17.3389,49.91,82,77,5.19,light rain
84,Pechenga,RU,69.5259,31.1703,36.46,80,100,2.82,overcast clouds
85,Abalak,RU,58.1286,68.5944,43.14,66,2,11.27,clear sky
86,Tiksi,RU,71.6872,128.8694,14.67,84,78,12.12,broken clouds
87,Koslan,RU,63.4564,48.8989,38.23,75,34,9.22,scattered clouds
88,Souillac,MU,-20.5167,57.5167,71.98,78,40,3.44,light rain
89,Hilo,US,19.7297,-155.09,69.8,72,97,3.24,light rain
90,Ilulissat,GL,69.2167,-51.1,17.06,76,10,2.64,clear sky
91,Mlimba,TZ,-8.8,35.8167,81.46,49,12,2.89,few clouds
92,Kaitangata,NZ,-46.2817,169.8464,48.25,97,99,5.53,overcast clouds
93,Rantepao,ID,-2.9701,119.8978,66.36,98,90,1.74,overcast clouds
94,Norman Wells,CA,65.282,-126.8329,28.44,93,75,3.44,broken clouds
95,Katherine,AU,-14.4667,132.2667,88.12,51,31,12.66,scattered clouds
96,Seoul,KR,37.5683,126.9778,67.48,94,75,2.3,broken clouds
97,Brenham,US,30.1669,-96.3977,85.86,51,1,4.61,clear sky
98,Lagoa,PT,39.05,-27.9833,68.72,62,0,5.64,clear sky
99,Cacapava,BR,-23.1008,-45.7069,77.25,54,67,6.24,broken clouds
100,Meulaboh,ID,4.1363,96.1285,77.83,86,100,1.88,light rain
101,Luau,AO,-10.7073,22.2247,82.74,27,36,4.18,scattered clouds
102,Kruisfontein,ZA,-34.0033,24.7314,59.88,85,23,11.63,few clouds
103,Vershino-Darasunskiy,RU,52.35,115.5167,29.66,64,99,3.02,overcast clouds
104,Tigbinan,PH,14.1865,122.4692,74.93,92,100,4.63,overcast clouds
105,Kishi,NG,9.0833,3.85,82.62,75,52,4.36,broken clouds
106,Harbour Breton,CA,47.4833,-55.7983,50.0,58,91,20.65,overcast clouds
107,Nanortalik,GL,60.1432,-45.2371,40.46,52,69,5.23,broken clouds
108,Banda Aceh,ID,5.5577,95.3222,80.31,81,99,14.29,overcast clouds
109,Caudebec-Les-Elbeuf,FR,49.2808,1.022,64.09,70,0,8.05,clear sky
110,Hualmay,PE,-11.0964,-77.6139,65.66,81,84,9.4,broken clouds
111,Chacabuco,AR,-34.6417,-60.4739,64.8,42,73,9.62,broken clouds
112,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,70,12.86,light rain
113,Sitka,US,57.0531,-135.33,48.09,87,90,11.5,mist
114,Port Lincoln,AU,-34.7333,135.8667,54.45,82,81,5.84,broken clouds
115,Geraldton,AU,-28.7667,114.6,52.21,76,0,10.36,clear sky
116,Timizart,DZ,36.8,4.2667,65.55,63,2,5.41,clear sky
117,Calvia,ES,39.5657,2.5062,72.57,46,2,6.6,clear sky
118,Mataura,NZ,-46.1927,168.8643,49.48,100,100,2.91,light rain
119,La Ronge,CA,55.1001,-105.2842,48.45,49,1,8.05,clear sky
120,Cape Town,ZA,-33.9258,18.4232,59.11,93,75,11.5,broken clouds
121,Coquimbo,CL,-29.9533,-71.3436,59.11,57,37,9.04,scattered clouds
122,Saint-Junien,FR,45.8833,0.9,63.54,63,0,6.24,clear sky
123,Lorengau,PG,-2.0226,147.2712,80.94,73,46,5.99,scattered clouds
124,Ribeira Grande,PT,38.5167,-28.7,73.8,64,40,5.75,scattered clouds
125,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,100,90,6.91,mist
126,Avarua,CK,-21.2078,-159.775,64.45,100,79,2.3,broken clouds
127,Cherskiy,RU,68.75,161.3,-4.65,100,72,3.47,broken clouds
128,Saint-Augustin,CA,51.226,-58.6502,48.02,54,71,12.19,broken clouds
129,Hithadhoo,MV,-0.6,73.0833,83.21,70,85,9.51,overcast clouds
130,Fare,PF,-16.7,-151.0167,77.47,73,98,4.18,overcast clouds
