City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
314,Kalawit,PH,79.9,overcast clouds,8.0667,122.5167,Ompoy Pension House
317,Damietta,EG,76.89,clear sky,31.4165,31.8133,SULIMAN INN
320,Nelspruit,ZA,73.69,clear sky,-25.4745,30.9703,Leaves Lodge and Spa
324,Hamilton,US,77.0,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
325,Quelimane,MZ,75.15,clear sky,-17.8786,36.8883,Hotel Flamingo
329,Bengkulu,ID,76.08,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
332,Kupang,ID,77.23,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
334,Inhambane,MZ,73.38,few clouds,-23.865,35.3833,Oceano
336,Griffith,US,74.98,scattered clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
341,Chibombo,ZM,78.24,clear sky,-14.6569,28.0706,Chibombo District Council Guest House
344,Frontera,MX,77.95,clear sky,26.9333,-101.45,Casagrande Hotel
353,Viedma,AR,74.08,clear sky,-40.8135,-62.9967,Hotel Cristal
357,Tacoronte,ES,77.13,scattered clouds,28.4769,-16.4102,Casa Laurel
358,Kuching,MY,79.02,few clouds,1.55,110.3333,The Ranee Boutique Suites
359,Ashland,US,75.97,scattered clouds,40.8167,-82.2665,"Holiday Inn Express & Suites Ashland, an IHG Hotel"
360,Kieta,PG,79.29,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
366,Yangjiang,CN,76.6,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
370,Xai-Xai,MZ,77.65,scattered clouds,-25.0519,33.6442,Complexo da Familia
373,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
388,Mount Darwin,ZW,76.77,few clouds,-16.7725,31.5838,
389,Saint-Joseph,RE,70.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
395,Mount Isa,AU,71.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
397,Itanagar,IN,72.93,clear sky,27.1,93.6167,Hotel Moomsie Itanagar
406,Rawson,AR,74.89,clear sky,-43.3002,-65.1023,Hosteria Sampedro
407,Fukue,JP,77.18,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
415,San Juan,AR,72.43,broken clouds,-31.5375,-68.5364,Hotel Provincial
418,Comarapa,BO,70.97,broken clouds,-17.9,-64.4833,
421,Puerto Del Rosario,ES,78.48,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
423,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
435,Pimentel,PE,71.89,clear sky,-6.8367,-79.9342,Casona Del Muelle
438,Saint-Pierre,RE,71.28,moderate rain,-21.3393,55.4781,Lindsey Hôtel
442,Shimoda,JP,70.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
443,Abha,SA,73.22,scattered clouds,18.2164,42.5053,Abha Hotel
449,North Charleston,US,76.95,overcast clouds,32.8886,-80.0075,"Crowne Plaza Charleston Airport - Conv Ctr, an IHG Hotel"
450,Calama,CL,73.89,few clouds,-22.4667,-68.9333,Diego De Almagro Calama
451,Sirjan,IR,75.67,clear sky,29.452,55.6814,MAPNA Building
452,Mogadishu,SO,78.8,few clouds,2.0371,45.3438,Hotel Juba
454,Kaseda,JP,74.77,clear sky,31.4167,130.3167,Sun Stay Kaseda
461,Horconcitos,PA,77.27,overcast clouds,8.4682,-81.8007,KAFETE S.A
471,Los Lunas,US,78.67,scattered clouds,34.8062,-106.7334,Western Skies Inns & Suites
475,San-Pedro,CI,79.86,overcast clouds,4.7485,-6.6363,Hotel Maria
478,Mizdah,LY,78.33,few clouds,31.4451,12.9801,محمدالمبروك الاريقط
481,Townsville,AU,74.28,scattered clouds,-19.25,146.8,Rydges Southbank Townsville
488,Hirado,JP,76.35,clear sky,33.3597,129.5531,Samson Hotel
490,Broome,US,73.17,overcast clouds,42.2506,-75.833,Chenango Valley State Park
499,Samarai,PG,79.54,overcast clouds,-10.6167,150.6667,Nuli Sapi
500,Erechim,BR,71.64,light rain,-27.6342,-52.2739,Hotel Buongiorno
502,Acworth,US,77.88,clear sky,34.0659,-84.6769,"Holiday Inn Express & Suites Acworth - Kennesaw Northwest, an IHG Hotel"
513,Ambulu,ID,75.27,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
515,Kirakira,SB,78.8,overcast clouds,-10.4544,161.9205,SanBiz Lodge
517,Nantucket,US,72.25,clear sky,41.2835,-70.0995,Jared Coffin House
521,Dingle,PH,73.81,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
524,Laela,TZ,78.51,overcast clouds,-8.5667,32.05,
525,Doctor Juan Manuel Frutos,PY,77.36,overcast clouds,-25.3667,-55.8,Balneario Las Burbujas
531,Plainview,US,77.72,overcast clouds,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
537,Cap Malheureux,MU,72.09,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
545,Katsuura,JP,75.31,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
546,Nieves,PH,75.76,overcast clouds,15.3274,120.9485,Bill's Inn
547,Padang,ID,77.05,light rain,-0.9492,100.3543,Mercure Padang
549,Kendari,ID,73.36,overcast clouds,-3.945,122.4989,Hotel Wixel
552,Khash,IR,71.6,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
556,Asfi,MA,72.41,scattered clouds,32.2994,-9.2372,Hôtel Abda
557,Pathein,MM,78.03,clear sky,16.7833,94.7333,New Pammawaddy Hotel
561,Hacari,CO,79.93,moderate rain,8.3233,-73.1489,
565,Namatanai,PG,78.69,light rain,-3.6667,152.4333,Seagulls Inn Namatani
577,Karratha,AU,75.04,clear sky,-20.7377,116.8463,ibis Styles Karratha
579,Saratoga Springs,US,73.8,few clouds,43.0831,-73.7846,"Holiday Inn Saratoga Springs, an IHG Hotel"
589,Marsa Matruh,EG,71.8,clear sky,31.3525,27.2453,Beau Site
595,Palmer,US,73.51,clear sky,42.1584,-72.3287,Wedgewood Motel
603,Ewa Beach,US,77.09,broken clouds,21.3156,-158.0072,Uncle Junior Robert
604,Carballo,ES,78.22,clear sky,43.213,-8.691,Pazo do Souto
605,North Vernon,US,76.12,few clouds,39.0062,-85.6236,Quality Inn North Vernon Near Hwy 50
613,Catumbela,AO,74.17,broken clouds,-12.4314,13.5472,Hotel Do Kamgamba
622,Taiping,MY,75.31,overcast clouds,4.85,100.7333,Flemington Hotel
624,Gemena,CD,77.65,light rain,3.25,19.7667,Hôtel Goshen
625,Omboue,GA,78.6,overcast clouds,-1.5746,9.2618,Hotel Olako
627,Isangel,VU,70.5,scattered clouds,-19.55,169.2667,Tanna Lodge
633,El Salto,MX,77.02,broken clouds,20.3333,-104.5,ramirez
634,Salina,US,79.18,few clouds,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
636,Mucuri,BR,75.6,overcast clouds,-18.0864,-39.5508,La Bodeguita Pousada
637,Vaitape,PF,77.74,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
643,Ewo,CG,79.09,light rain,-0.8725,14.8206,Residence Elonda Ewo
648,Tibati,CM,72.27,light rain,6.4667,12.6333,Tibati Hotel
658,Kokopo,PG,76.78,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
662,Ratnagiri,IN,79.41,overcast clouds,16.9833,73.3,Hotel Landmark
666,Mahajanga,MG,78.82,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
670,Banga,PH,74.52,overcast clouds,6.4239,124.7783,Fortune Field Resort
679,Ponta Delgada,PT,74.12,few clouds,37.7333,-25.6667,Vila Nova Hotel
681,Saiki,JP,71.94,few clouds,32.95,131.9,（株）サンテツ
686,Doctor Arroyo,MX,70.29,few clouds,23.6667,-100.1833,Hotel Plaza
689,Patiya,BD,77.65,broken clouds,22.2931,91.9762,R Village
693,Guhagar,IN,78.46,overcast clouds,17.4842,73.1929,Hotel Seawinds
694,Waw,SS,79.57,broken clouds,7.7029,27.9953,Universal Gab Hotel
